168347,-65,17,16787,1
168448,-67,-9,16766,1
168549,-57,14,16763,1
168650,-53,3,16776,1
168750,-59,27,16770,1
168851,-61,7,16755,1
168951,-87,14,16745,1
169052,-55,2,16759,1
169153,-75,9,16743,1
169253,-77,3,16738,1
169354,-61,26,16722,1
169455,-59,7,16768,1
169556,-71,9,16758,1
169657,-67,1,16771,1
169757,-67,10,16780,1
169858,-57,21,16766,1
169959,-67,28,16776,1
170060,-46,11,16782,1
170161,-70,13,16768,1
170262,-72,-6,16735,1
170362,-76,21,16771,1
170463,-78,-20,16747,1
170563,-92,16,16753,1
170663,-74,-10,16776,1
170764,-90,8,16763,1
170865,-86,-23,16747,1
170966,-64,13,16773,1
171066,-83,-9,16764,1
171167,-91,6,16736,1
171267,-971,-3860,16518,1
171368,-582,440,16878,1
171469,-1431,1161,16943,1
171569,-1080,2959,17744,1
171670,-933,6083,16440,1
171771,2064,1054,16285,1
171872,4446,-51,17056,1
171973,5535,-619,15895,1
172074,6948,1429,13819,1
172174,8359,5152,16950,1
172275,8271,-230,12337,1
172375,6534,-57,13829,1
172476,8051,2868,15007,1
172577,8194,2219,15042,1
172678,9629,-43,14515,1
172778,9634,-1659,13136,1
172879,8887,-766,14308,1
172979,9961,4378,11737,1
173080,6831,61,15209,1
173181,4264,3941,14874,1
173282,3434,2923,17794,1
173382,2213,5057,14785,1
173483,2575,3293,17369,1
173584,3711,6983,12362,1
173685,3449,6790,15074,1
173786,5914,6104,13778,1
173886,7349,2772,9046,1
173987,4239,3163,15032,1
174088,9797,4459,14006,1
174189,8340,4873,13390,1
174290,7399,4906,14825,1
174390,4093,6446,15768,1
174491,4278,4667,15968,1
174591,3516,1574,15484,1
174692,3078,-1653,12631,1
174793,3679,-1568,18690,1
174894,5452,-3196,19795,1
174994,7557,-7918,17739,1
175095,4467,-5264,17441,1
175195,4357,-1926,13495,1
175296,7489,-581,14689,1
175397,9719,818,12476,1
175498,13031,-2307,10500,1
175598,14827,-2427,3543,1
175699,11071,748,6473,1
175799,14519,1003,-1680,1
175899,13373,6295,-2772,0
176000,9243,12883,-6547,0
176101,-16590,22258,-18439,0
176202,-23227,-32764,32729,0
176302,976,-32764,17170,0
176403,-5848,-22345,5243,0
176504,-4607,10266,-671,0
176605,13544,6210,-393,0
176706,16790,5522,-3388,0
176807,11155,6127,-1532,1
176907,2316,5633,-1970,1
177008,-1834,-1986,20089,1
177109,-6470,3127,27996,1
177209,-2513,5141,21507,1
177310,1346,1677,20618,1
177411,-1637,-1719,19994,1
177512,790,509,15453,1
177612,4421,-1476,16088,1
177713,5348,-1976,12138,1
177813,7625,-683,13467,1
177914,7697,-328,16801,1
178015,7454,-548,16936,1
178116,6784,543,15885,1
178216,5254,176,16656,1
178317,5024,398,16677,1
178418,6296,1368,14234,1
178518,5766,-562,15147,1
178618,6360,-953,11984,1
178719,5727,-351,12184,1
178820,2121,-1824,14866,1
178921,1299,-2038,14302,1
179021,-139,-3079,13526,1
179122,-4985,-4477,11838,1
179223,-10742,-3707,9676,1
179323,-14973,-9509,20388,1
179423,-14591,-7634,17749,1
179523,-12627,-10375,12768,1
179623,-7738,-11746,7484,1
179723,-9448,-12734,8292,1
179823,-8485,-13052,7910,1
179924,-5901,-15282,6127,1
180025,-5248,-16634,3409,1
180126,-5288,-15114,1964,1
180227,-4076,-13805,1527,1
180327,-2988,-14275,-1395,1
180428,-2956,-14084,-2461,1
180529,-309,-15340,-3197,1
180630,58,-17408,-1520,1
180731,727,-19138,1834,1
180832,1311,-18165,3260,1
180933,3799,-15015,4528,1
181033,3848,-12230,7655,1
181134,6566,-11415,9653,1
181234,6371,-8162,12784,1
181335,1106,1415,11374,1
181436,-60,7965,12601,1
181537,-533,11683,9609,1
181638,810,5502,9188,1
181738,-6394,10154,9517,1
181839,-5303,7263,5169,1
181939,-7053,2859,14097,1
182040,-16909,12964,14884,1
182141,-6678,9835,9966,1
182242,-23174,14846,12516,1
182343,-9515,8839,17524,1
182443,-7315,14736,11786,1
182544,-5183,15366,11091,1
182644,81,9821,11404,1
182745,3712,5344,8453,1
182846,6231,11392,5259,1
182947,7798,14635,5430,1
183048,6108,15277,3118,1
183148,9781,11083,3924,1
183249,10893,10322,3905,0
183350,9902,913,3287,0
183450,462,-8254,-2475,0
183551,-21760,11803,-10770,0
183652,-32748,32748,-32748,0
183753,-13436,13383,1652,0
183854,-8672,12552,1440,0
183954,1164,-12320,-5214,0
184055,7244,-18282,-4500,0
184156,6936,10480,13008,1
184256,12588,21245,15529,1
184357,12448,14400,4039,1
184458,11743,6870,2886,1
184559,10053,-3424,483,1
184660,2440,8512,5944,1
184760,-7430,18539,1907,1
184861,-11839,13646,2548,1
184962,-13644,29049,10050,1
