cpu_speed,volts,cpu_pct,load_avg,temp
2.40002048,0.8915,25.0,0.89,47.7
2.40002048,0.8915,0.9,0.89,46.6
2.400033792,0.8915,1.9,0.89,46.1
2.400033792,0.8915,5.6,0.89,46.1
2.400027136,0.8915,0.9,0.89,46.6
2.400027136,0.8915,1.9,0.89,47.2
2.40002048,0.8915,0.0,0.89,47.2
2.400027136,0.8915,1.9,0.89,46.1
2.40002048,0.8915,0.0,0.89,47.2
2.400027136,0.8915,0.9,0.82,46.6
2.400027136,0.8915,1.0,0.82,45.5
2.400033792,0.8915,0.0,0.82,47.2
2.400027136,0.8915,0.0,0.82,46.6
2.400033792,0.8915,0.0,0.82,46.6
2.40002048,0.8915,3.8,0.82,48.3
2.400017408,0.8915,0.0,0.82,47.2
2.40003712,0.8915,1.9,0.82,46.6
2.400027136,0.8915,0.0,0.82,47.2
1.600013696,0.7815,1.9,0.82,45.5
1.5000128,0.75,0.9,0.82,46.6
1.5000128,0.75,0.9,0.82,46.6
1.5000128,0.8915,0.0,0.82,45.0
1.500022656,0.75,0.9,0.82,46.1
1.500019456,0.75,0.0,0.82,46.1
1.500009472,0.75,0.0,0.82,46.1
1.5000128,0.8915,1.9,0.82,47.7
1.500019456,0.75,0.0,0.82,46.1
1.500019456,0.75,0.9,0.82,46.1
1.500022656,0.75,0.9,0.75,45.5
1.5000128,0.75,2.8,0.75,46.6
1.500016128,0.75,0.9,0.75,45.0
1.500016128,0.75,1.9,0.75,45.5
1.500016128,0.7815,0.9,0.75,45.5
1.5000128,0.75,1.9,0.75,46.1
1.500022656,0.75,0.0,0.75,46.6
1.500016128,0.75,0.0,0.75,46.1
1.500016128,0.8915,0.9,0.75,46.1
1.5000128,0.75,0.9,0.75,46.6
1.500022656,0.75,0.0,0.75,45.5
1.5000128,0.75,0.9,0.75,45.0
1.600020224,0.75,1.9,0.75,45.0
1.500019456,0.75,1.8,0.75,46.1
1.500016128,0.75,0.0,0.75,45.5
1.500019456,0.8915,1.9,0.75,45.0
1.600013696,0.7815,2.8,0.75,45.5
1.900026112,0.8915,20.9,0.75,47.2
1.700017792,0.7953,10.9,0.85,47.2
1.600020224,0.8915,2.8,0.85,46.6
1.500016128,0.75,1.9,0.85,45.5
1.500016128,0.75,0.9,0.85,46.6
1.700014464,0.8915,14.0,0.85,46.6
1.500009472,0.75,9.3,0.85,46.6
1.500022656,0.75,0.9,0.85,45.5
1.500016128,0.75,1.8,0.85,46.6
1.500016128,0.75,1.9,0.85,44.4
1.500022656,0.75,3.7,0.85,46.6
1.600013696,0.8915,1.9,0.85,46.1
1.500016128,0.75,3.6,0.85,45.5
1.500022656,0.8915,1.9,0.85,47.2
1.600017024,0.75,3.7,0.85,46.6
1.500019456,0.75,0.0,0.85,46.1
1.5000128,0.75,0.0,0.85,45.5
1.600017024,0.7815,1.9,0.85,45.5
1.900019584,0.8915,25.2,0.85,47.2
2.400023808,0.8915,41.9,0.87,47.7
2.400023808,0.8915,3.8,0.87,47.2
2.40002048,0.8915,4.7,0.87,47.2
2.400023808,0.8915,5.6,0.87,46.6
2.400027136,0.8915,0.0,0.87,45.5
2.400023808,0.8915,0.9,0.87,46.6
2.400033792,0.8915,0.9,0.87,47.7
2.400027136,0.8915,0.0,0.87,45.5
2.40002048,0.8915,0.9,0.87,47.7
2.400033792,0.8915,4.7,0.87,46.1
2.400027136,0.8915,3.7,0.87,46.1
2.40003712,0.8915,2.8,0.87,46.6
2.400017408,0.8915,3.7,0.87,45.5
2.400030464,0.8915,1.9,0.87,47.2
2.400023808,0.8915,1.9,0.87,46.1
2.400023808,0.8915,0.9,0.87,47.2
2.400030464,0.8915,0.0,0.87,47.2
2.40003712,0.8915,1.9,0.87,46.6
1.5000128,0.75,0.0,0.87,46.6
1.500019456,0.75,1.8,0.8,47.7
1.500022656,0.8915,0.0,0.8,46.1
1.500019456,0.75,0.9,0.8,46.1
1.500019456,0.75,0.0,0.8,46.6
1.500019456,0.75,0.9,0.8,45.5
1.600013696,0.8915,0.9,0.8,46.6
1.500019456,0.75,0.9,0.8,46.1
1.500019456,0.75,0.9,0.8,45.5
1.500019456,0.75,0.0,0.8,45.5
1.600023552,0.7815,1.9,0.8,46.6
1.5000128,0.75,0.9,0.8,46.1
1.500016128,0.75,0.9,0.8,45.0
1.500019456,0.75,0.9,0.8,45.0
1.600020224,0.75,1.9,0.8,44.4
1.5000128,0.75,0.0,0.8,45.5
1.500022656,0.75,0.0,0.8,45.0
1.500022656,0.8915,0.9,0.8,46.1
1.700014464,0.8915,8.3,0.8,46.1
1.800018688,0.8915,10.9,0.8,46.6
1.500019456,0.8915,5.3,1.13,46.1
1.500016128,0.75,5.5,1.13,46.1
1.90002944,0.8228,12.0,1.13,46.6
1.600013696,0.8915,1.9,1.13,46.1
1.5000128,0.8915,1.9,1.13,45.5
2.400030464,0.8915,38.7,1.13,47.7
2.400033792,0.8915,25.7,1.13,48.3
2.40002048,0.8915,29.5,1.13,46.6
2.400030464,0.8915,23.1,1.13,47.7
2.40002048,0.8915,24.5,1.13,46.6
2.40002048,0.8915,23.6,1.13,47.7
2.40002048,0.8915,0.0,1.13,46.6
2.400023808,0.8915,1.9,1.13,47.2
2.400030464,0.8915,0.0,1.13,47.7
2.40002048,0.8915,0.9,1.13,47.2
2.400027136,0.8915,0.0,1.13,45.0
2.400027136,0.8915,1.9,1.13,47.2
2.400033792,0.8915,0.9,1.13,45.5
2.400033792,0.8915,0.0,1.04,47.2
2.400023808,0.8915,0.9,1.04,46.1
2.400023808,0.8915,1.9,1.04,45.5
2.400033792,0.8915,0.0,1.04,47.2
2.40002048,0.8915,0.9,1.04,47.2
2.40002048,0.8915,1.9,1.04,46.1
1.500009472,0.75,0.0,1.04,46.6
1.500022656,0.75,0.9,1.04,45.5
1.500022656,0.75,0.9,1.04,46.1
1.600010368,0.7815,1.9,1.04,45.5
1.600020224,0.8915,4.7,1.04,47.2
1.600017024,0.8915,8.6,1.04,46.1
1.600020224,0.7815,5.6,1.04,46.6
1.600013696,0.75,1.9,1.04,45.0
